代码,名称,实际控制人,控制人类型,控制人简介,证监会行业,Wind行业
300198.SZ,纳川股份,陈志江,个人,陈志江：中国国籍，2008年12月至2011年12月就任公司董事长兼总经理；2011年12月至2015年1月就任公司董事长，现任公司董事长兼总经理。,CSRC橡胶和塑料制品业,Wind材料Ⅱ
300199.SZ,翰宇药业,曾少强,个人,"曾少强先生,1971年1月出生,中国国籍,拥有中国香港特别行政区居留权,菲律宾居留权,清华大学经济管理学院工商管理硕士,长江商学院(EMBA)高级工商管理硕士,清华大学经济管理学院首届DBA在读,高级经营师.曾少强先生现任深圳翰宇药业股份有限公司副董事长,深圳市翰宇创业投资有限公司董事,总经理,深圳市翰宇生物工程有限公司副董事长,深圳市翰宇石化有限公司董事长,广东长和控股有限公司董事长,深圳市前海天阳金融服务股份公司董事长,深圳市曾少强慈善基金会主席.曾少强先生还担任中国宋庆龄基金会理事,中华海外联系会理事,中国光彩事业促进会理事,政协广东省委员会委员,政协深圳市委员会委员,深圳市政协港澳台侨和外事会副主任,广东省光彩事业促进会副会长,深圳市工商业联合会副主席,深圳市光彩事业促进会副会长等社会职务.",CSRC医药制造业,Wind制药、生物科技与生命科学
300199.SZ,翰宇药业,曾少彬,个人,"曾少彬先生,1977年1月出生,中国国籍,无永久境外居留权,本科学历,学士学位.曾少彬先生现任深圳市翰宇创业投资有限公司董事,深圳市翰宇生物工程有限公司董事,深圳市翰宇石化有限公司总经理,新疆丰庆股权投资合伙企业(有限合伙),(原)深圳市丰成投资有限公司总经理,深圳市宝安区工商业联合会副主席,政协深圳市宝安区委员会委员,揭阳市人民代表大会代表.现任本公司监事.",CSRC医药制造业,Wind制药、生物科技与生命科学
300199.SZ,翰宇药业,曾少贵,个人,"曾少贵先生,1968年5月出生,中国国籍,拥有中国香港特别行政区居留权,菲律宾居留权,高级经营师.曾少贵先生于2008年获得清华大学经济管理学院高级工商管理硕士(EMBA)学位,2005年获得澳门科技大学法学硕士学位,2003年获得中国政法大学在职法学硕士研究生同等学历.曾少贵先生历任深圳市华兴油料贸易有限公司经营部业务员,经营部经理;深圳市翰宇药业有限公司董事长,深圳市翰宇创业投资有限公司董事长,深圳市翰宇生物工程有限公司董事长.曾少贵先生还担任深圳市人民代表大会代表,深圳市人大内务司法委员会委员等社会职务.现任本公司董事长.",CSRC医药制造业,Wind制药、生物科技与生命科学
300200.SZ,高盟新材,"戴耀花,凤翔,李学银,冼燃",个人,冼燃，2005年7月-2015年1月任广州高金技术产业集团有限公司董事，1997年-2013年任广州毅昌科技股份有限公司董事长；凤翔，2005年7月-2016年2月任广州高金技术产业集团有限公司经理；戴耀花，现任广州高金技术产业集团有限公司监事；李学银，2005年7月-2015年1月任广州高金技术产业集团有限公司董事。,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
300201.SZ,海伦哲,丁剑平,个人,"丁剑平先生,中国国籍,无永久境外居留权,身份证号码为:3203021960050****,住所为江苏省徐州市泉山区苏堤北路工程小区8号楼.2009年4月起,任机电公司董事长,本公司董事长兼总经理;为集中精力履行董事长职责,将工作重心集中于公司治理和发展战略,规划公司长远建设与发展,于2014年4月21日起,辞去本公司总经理职务.",CSRC专用设备制造业,Wind资本货物
300202.SZ,聚龙股份,周素芹,个人,周素芹：曾任公司总经理，现任新疆科大聚龙集团股权投资有限合伙企业总裁。,CSRC通用设备制造业,Wind技术硬件与设备
300202.SZ,聚龙股份,柳永诠,个人,柳永诠：现任公司副董事长、总经理。,CSRC通用设备制造业,Wind技术硬件与设备
300202.SZ,聚龙股份,柳长庆,个人,柳长庆：现任公司董事长，兼任国家金融安全及系统装备工程技术研究中心主任、新疆科大聚龙集团股权投资有限合伙企业董事长。,CSRC通用设备制造业,Wind技术硬件与设备
300203.SZ,聚光科技,王健,个人,"王健，男，本公司创始人之一，毕业于浙江大学光学仪器工程系光学仪器专业、美国斯坦福大学机械工程系热科学专业，均获博士学位。2001年1月至2001年10月，在美国APPLIED OPTOELECTRONIC,INC.任高级研究员；2002年6月至2010年1月，杭州电子科技大学，任研究员、半导体激光测量技术研究所所长；2002年1月至2015年8月，聚光有限、聚光科技，任董事长、总工程师；2001年10月至今，FPI（US），任董事。",CSRC仪器仪表制造业,Wind技术硬件与设备
300203.SZ,聚光科技,姚纳新,个人,"姚纳新，男，本公司创始人之一，毕业于北京大学生物系，获学士学位，美国加州大学伯克利分校获分子生物系硕士学位，美国斯坦福大学获MBA硕士学位,曾任阿里巴巴美国公司负责人,2002年1月至2015年6月.聚光有限,聚光科技,任董事,总经理,2001年10月至今,FPI(US),任董事.",CSRC仪器仪表制造业,Wind技术硬件与设备
300204.SZ,舒泰神,冯宇霞,个人,冯宇霞女士自2008年至今任北京昭衍新药研究中心股份有限公司董事长、昭衍（苏州）新药研究中心有限公司董事长。,CSRC医药制造业,Wind制药、生物科技与生命科学
300204.SZ,舒泰神,周志文,个人,周志文先生自2002年起任舒泰神（北京）药业有限公司董事，2005年起任舒泰神（北京）药业有限公司总经理，2009年起任本公司董事会董事长、总经理、子公司北京三诺佳邑生物技术有限责任公司董事长，2012年至今任本公司董事会董事长、子公司北京三诺佳邑生物技术有限责任公司董事长、子公司舒泰神（香港）（STAIDSON HONG KONG INVESTMENT COMPANY LIMITED）执行董事。,CSRC医药制造业,Wind制药、生物科技与生命科学
300205.SZ,天喻信息,华中科技大学,大学,"华中科技大学是国家教育部直属的全国重点大学,由原华中理工大学,同济医科大学,武汉城市建设学院于2000年5月26日合并成立,是首批被列入国家“211工程”和“985工程”重点建设的大学.华中科技大学现有178个博士学位授权点,29个博士后科研流动站,4个国家重点实验室和6个国家工程(技术)研究中心.华中科技大学主要从事教学科研,校办产业除后勤业务外均划归产业集团持有股权和管理.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300207.SZ,欣旺达,华泰证券资产管理计划-王明旺,个人,王明旺，男，1967年5月出生，中国国籍，无境外永久居留权。中山大学高级工商管理硕士（EMBA）。1991年7月至1993年6月，任职于香港精森（深圳）电子有限公司；1993年11月创办佳利达电子加工厂，任总经理；1997年12月，与王威共同创立欣旺达，并担任执行董事；现任欣旺达董事长、总经理。兼任中国化学与物理电源行业协会理事，深圳市商业联合会常务理事。,CSRC电气机械及器材制造业,Wind技术硬件与设备
300207.SZ,欣旺达,王明旺,个人,王明旺，男，1967年5月出生，中国国籍，无境外永久居留权。中山大学高级工商管理硕士（EMBA）。1991年7月至1993年6月，任职于香港精森（深圳）电子有限公司；1993年11月创办佳利达电子加工厂，任总经理；1997年12月，与王威共同创立欣旺达，并担任执行董事；现任欣旺达董事长、总经理。兼任中国化学与物理电源行业协会理事，深圳市商业联合会常务理事。,CSRC电气机械及器材制造业,Wind技术硬件与设备
300207.SZ,欣旺达,王威,个人,王威，男，1975年1月出生，中国国籍，无境外永久居留权。清华大学高级工商管理硕士课程研修班结业。1994年9月至1997年12月，任佳利达电子加工厂副总经理；1997年12月与王明旺先生共同创办欣旺达，任欣旺达营销总监；2008年8月至2014年9月，任欣旺达董事、副总经理；现王威在公司暂不担任任何职务,CSRC电气机械及器材制造业,Wind技术硬件与设备
300208.SZ,恒顺众昇,贾全臣,个人,贾全臣，男，1956年出生，中国国籍，无境外永久居留权，本科毕业于西安交通大学电气绝缘技术专业，南开大学工商管理学硕士（EMBA），硕士学位。1998年-2007年任青岛恒顺电器有限公司总经理，2007年-2010年4月任青岛市恒顺众昇集团股份有限公司董事长、总经理。现任本公司董事长，兼任新余清源环保投资管理有限公司执行董事。,CSRC电气机械及器材制造业,Wind资本货物
300209.SZ,天泽信息,孙伯荣,个人,"孙伯荣,2009年8月至2014年9月10日担任本公司董事",CSRC软件和信息技术服务业,Wind软件与服务
300210.SZ,森远股份,郭松森,个人,郭松森先生，中国国籍，无永久境外居留权，1963年出生，硕士学位。历任森远高等级、森远有限董事长、总经理，森远股份董事长、总经理。现任公司董事长，兼任全国建筑施工机械与设备标准化技术委员会委员、辽宁省名牌推进委员会理事。,CSRC专用设备制造业,Wind资本货物
300211.SZ,亿通科技,王振洪,个人,王振洪，男，1956年出生，中国国籍，研究生学历。曾任常熟亿通集团公司董事长、江苏亿通电子有限公司董事长兼总经理，2001年至今任江苏亿通高科技股份有限公司董事长兼总经理以及公司董事；2014年5月至今江苏亿创投资管理有限公司控股股东。,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300211.SZ,亿通科技,王桂珍,个人,王桂珍，女，1971年出生，中国国籍，大专学历，助理工程师、二级建造师。2005年1月至2011年6月，任江苏亿通高科技股份有限公司采购部负责人；2011年7月至2011年11月任江苏亿通高科技股份有限公司董事兼采购部负责人；2011年12月至今任公司董事、董事会秘书兼采购部负责人。,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300212.SZ,易华录,国务院国有资产监督管理委员会,国资委,,CSRC软件和信息技术服务业,Wind软件与服务
300213.SZ,佳讯飞鸿,林菁,个人,林菁，男，中国籍，1990年获得北京航空航天大学自动控制学士学位，2003年获得对外经济贸易大学MBA硕士学位。1984年至1986年供职于北京雪花集团，1986年至1990年就读于北京航天航空大学，1990年至1994年供职于汇佳国际数据系统有限公司。1995年设立本公司至今任公司董事长。,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300213.SZ,佳讯飞鸿,郑贵祥,个人,郑贵祥，男，中国籍，厦门大学EMBA。1991年至1995年供职于汇佳国际数据系统有限公司，1995年至今供职于本公司。现任公司董事、总经理。,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300213.SZ,佳讯飞鸿,王翊,个人,王翊，女，中国籍，硕士学位，毕业于对外经济贸易大学国际贸易学专业。1990年至1995年供职于国营晨星无线电器材厂，1995年至今供职于本公司，现任公司董事、副总经理、董事会秘书。,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300213.SZ,佳讯飞鸿,刘文红,个人,刘文红，女，中国籍，1989年获得北京大学计算机科学技术学士学位，1992年获得北京大学计算机科学技术硕士学位，2003年获得北京大学经济研究中心和美国福坦莫大学合作的高级工商管理硕士学位（EMBA），2008年1月获得北京交通大学通信与信息专业博士学位。教授级高级工程师。1992年至1994年供职于城建集团，1995年至今供职于本公司。现任公司董事、副总经理。,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300213.SZ,佳讯飞鸿,韩江春,个人,韩江春，男，中国籍，学士学位，1990年毕业于北京大学物理学专业。1991年至1994年供职于新加坡创新科技有限公司，1995年至今供职于本公司。现任公司董事、副总经理。,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300214.SZ,日科化学,赵东日,个人,"赵东日先生,1964 年生,中国国籍,无境外居留权,博士学位.赵东日先司董事长.生目前为中国塑料加工工业协会新材料研究开发工作委员会主任,曾获得山东省留学回国创业奖,山东省科学技术奖,第一届和第三届山东省发明创业奖,第六届潍坊市十大杰出青年企业家,山东省劳动模范,潍坊市科技创新贡献奖,潍坊市科学技术进步奖,潍坊市专业技术拔尖人才,中国专利潍坊十大创新工作者等荣誉.赵东日先后毕业于华东石油大学,日本鹿儿岛大学和日本丰桥技术科学大学,并获得高分子材料博士学位.赵东日于1992 年至1995 年在日本名古屋涂料株式会社任研究员,1995 年至2000 年,任齐鲁石化公司研究院研究员,2001 年至2003 年任永力化工董事长和沂源瑞丰高分子材料有限公司董事等职务.2003 年,赵东日先生创立日科有限并任董事长.2009 年9 月起任公司董事长.",CSRC化学原料及化学制品制造业,Wind材料Ⅱ
300215.SZ,电科院,胡德霖,个人,胡德霖先生，男，本公司董事长、总经理，1951年生，研究员级高级工程师。胡德霖于1978进入苏州机床电器厂工作，曾任副厂长；1987年至1994年历任机械电子工业部机床电器苏州测试中心站（后更名为机械电子工业部机床电器产品质量监督检测苏州分中心）副站长、站长（主任）。胡德霖先生是本公司创始人，1993年以来，一直担任本公司（及本公司前身）董事长（执行董事）、总经理、《电工电气》杂志社（及前身《江苏电器》杂志社）社长兼主编,CSRC专业技术服务业,Wind资本货物
300215.SZ,电科院,胡醇,个人,胡醇先生，男，本公司董事、副总经理，1978年生，本科学历。2002年进入本公司工作，历任本公司前身监事，现任本公司副总经理。,CSRC专业技术服务业,Wind资本货物
300216.SZ,千山药机,王国华,个人,王国华先生：中国国籍，无境外永久居留权，1966年出生，本科学历，工程师。曾任湖南康源制药有限公司董事、总经理；现任湖南千山制药机械股份有限公司董事、副总经理。,CSRC专用设备制造业,Wind资本货物
300216.SZ,千山药机,彭勋德,个人,彭勋德先生：中国国籍，无境外永久居留权，1968年出生，本科学历，高级工程师。曾任湖南康源制药有限公司监事；现任湖南千山制药机械股份有限公司监事、研究一所所长，湖南宏灏基因生物科技有限公司董事，上海申友生物技术有限责任公司监事，湖南乐福地医药包材科技有限公司董事，湖南千山投资有限公司监事。,CSRC专用设备制造业,Wind资本货物
300216.SZ,千山药机,邓铁山,个人,邓铁山先生：中国国籍，无境外永久居留权，1966年出生，大专学历，工程师。曾任湖南康源制药有限公司董事、监事；现任湖南千山制药机械股份有限公司董事、研究三所所长，上海申友生物技术有限责任公司董事。,CSRC专用设备制造业,Wind资本货物
300216.SZ,千山药机,刘燕,个人,刘燕先生：中国国籍，无境外永久居留权，1967年出生，本科学历，高级工程师。曾任湖南康源制药有限公司董事；现任湖南千山制药机械股份有限公司董事、副总经理兼总工程师，上海千山远东制药机械有限公司董事，上海千山医疗科技有限公司董事，湖南千山磁谷医疗科技有限公司董事。,CSRC专用设备制造业,Wind资本货物
300216.SZ,千山药机,刘祥华,个人,刘祥华先生：中国国籍，无境外永久居留权，1963年出生，大专学历，高级工程师。曾任湖南康源制药有限公司董事长、总经理，长沙市第十届政协委员；现任湖南千山制药机械股份有限公司董事长、总经理，上海千山医疗科技有限公司董事长，湖南天合生物技术有限公司董事长，湖南千山医疗器械有限公司执行董事、总经理，上海千山远东制药机械有限公司董事长，湖南宏灏基因生物科技有限公司董事长、总经理，湖南千山磁谷医疗科技有限公司董事长，上海申友生物技术有限责任公司董事，湖南三谊医疗科技有限公司董事长，长沙宏灏医学检验有限公司执行董事、总经理，湖南千山投资有限公司执行董事、总经理，湖南千山慢病健康管理有限公司执行董事、总经理，湖南千海医疗科技研究院有限公司董事长、总经理，长沙经济技术开发集团有限公司董事，湖南省第十一届政协委员、长沙市第十一届政协委员，湖南省工商业联合会副会长，中国医药设备工程协会副会长、长沙市工商联副会长。,CSRC专用设备制造业,Wind资本货物
300216.SZ,千山药机,黄盛秋,个人,黄盛秋先生：中国国籍，无境外永久居留权，1968年出生，本科学历，高级工程师，近五年均在公司任职，现任湖南千山制药机械股份有限公司监事、研究三所副所长。,CSRC专用设备制造业,Wind资本货物
300216.SZ,千山药机,郑国胜,个人,"郑国胜先生：中国国籍，无境外永久居留权，1969年出生，大专学历，工程师。曾任湖南康源制药有限公司监事；现任湖南千山制药机械股份有限公司监事会主席、研究二所所长,湖南天合生物技术有限公司监事，湖南宏灏基因生物科技有限公司监事会主席，湖南千山磁谷医疗科技有限公司监事，湖南千山慢病健康管理有限公司监事，湖南千海医疗科技研究院有限公司监事。",CSRC专用设备制造业,Wind资本货物
300216.SZ,千山药机,钟波,个人,钟波先生：中国国籍，无境外永久居留权，1965年出生，大专学历。曾任江苏大红鹰恒顺药业有限公司董事、湖南康源制药有限公司董事；现任湖南千山制药机械股份有限公司董事、常务副总经理，湖南天合生物技术有限公司董事。,CSRC专用设备制造业,Wind资本货物
300217.SZ,东方电热,谭荣生,个人,"谭荣生先生,1944年11月生，中国国籍，中国共产党党员，自2009年8月起任公司董事长至今，历任公司第一届、第二届、第三届董事会董事长。",CSRC电气机械及器材制造业,Wind资本货物
300217.SZ,东方电热,谭伟,个人,谭伟先生，1973年3月生，中国国籍，中国共产党党员，北京大学EMBA，高级经济师，自2009年8月起任公司董事、总经理至今，历任公司第一届、第二届、第三届董事会董事、总经理。,CSRC电气机械及器材制造业,Wind资本货物
300217.SZ,东方电热,谭克,个人,谭克先生，1975年7月生，中国国籍，中国共产党员，高级经济师，大专学历，镇江市人大代表，自2009年8月起任公司副董事长至今，历任公司第一届、第二届、第三届董事会副董事长。2006年领导创建公司的控股子公司镇江东方电热有限公司，先后担任该公司总经理、董事长至今。2013年5月起任江苏瑞吉格泰油气工程有限公司董事长、总经理至今。,CSRC电气机械及器材制造业,Wind资本货物
300218.SZ,安利股份,"姚和平,杨滁光,王义峰,陈茂祥",个人,姚和平：担任本公司董事长、总经理，安利新材料董事长、总经理，安利投资董事长，安徽省人大代表，享受国务院特殊津贴专家、教授级高级工程师、中国注册会计师、注册企业法律顾问，是安徽省学术和技术带头人、安徽省技术领军人才，入选“安徽省首批创新创业领军人才特殊支持计划”，是合肥市优秀企业家，中国塑料加工工业协会副会长、安徽纳米材料及应用产业技术创新战略联盟副理事长、合肥市工商联副主席，合肥工业大学兼职硕士生导师、合肥学院、安徽财经大学兼职教授；王义峰：担任本公司董事、副总经理，安利新材料董事、副总经理，安利投资董事；杨滁光：担任本公司董事、副总经理，安利新材料董事、副总经理，安利投资董事，合肥工业大学兼职研究生导师；陈茂祥：担任本公司董事、副总经理，安利新材料董事、副总经理，安利投资董事，合肥学院兼职教授。,CSRC橡胶和塑料制品业,Wind材料Ⅱ
300218.SZ,安利股份,姚和平,个人,姚和平：担任本公司董事长、总经理，安利新材料董事长、总经理，安利投资董事长，安徽省人大代表，享受国务院特殊津贴专家、教授级高级工程师、中国注册会计师、注册企业法律顾问，是安徽省学术和技术带头人、安徽省技术领军人才，入选“安徽省首批创新创业领军人才特殊支持计划”，是合肥市优秀企业家，中国塑料加工工业协会副会长、安徽纳米材料及应用产业技术创新战略联盟副理事长、合肥市工商联副主席，合肥工业大学兼职硕士生导师、合肥学院、安徽财经大学兼职教授。,CSRC橡胶和塑料制品业,Wind材料Ⅱ
300218.SZ,安利股份,王义峰,个人,王义峰：担任本公司董事、副总经理，安利新材料董事、副总经理，安利投资董事。,CSRC橡胶和塑料制品业,Wind材料Ⅱ
300218.SZ,安利股份,杨滁光,个人,杨滁光：担任本公司董事、副总经理，安利新材料董事、副总经理，安利投资董事，合肥工业大学兼职研究生导师。,CSRC橡胶和塑料制品业,Wind材料Ⅱ
300218.SZ,安利股份,陈茂祥,个人,陈茂祥：担任本公司董事、副总经理，安利新材料董事、副总经理，安利投资董事，合肥学院兼职教授。,CSRC橡胶和塑料制品业,Wind材料Ⅱ
300220.SZ,金运激光,梁伟,个人,"梁伟先生:公司董事长,中国国籍,无永久境外居留权,1967年出生,大学学历,2006年获得“全国优秀民营科技企业家奉献奖”荣誉称号.2001年至2005年期间先后创立武汉金运机电设备制造有限公司及武汉金运光电产业有限公司并任总经理.2005年以来任本公司执行董事,总经理职务;2008年10月以来任盛兴业软件执行董事.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300221.SZ,银禧科技,谭颂斌,个人,谭颂斌：2002年9月至今，担任银禧工程塑料（东莞）有限公司董事长；2008年7月至今，担任本公司董事长；2009年5月至今，担任东莞银禧高分子材料研究院理事长；2009年11月至今，担任苏州银禧新材料有限公司董事长；2010年10月至2015年12月，担任东莞市瑞晨投资有限公司执行董事兼经理；2011年9月至今，担任苏州银禧科技有限公司董事长；2012年12月2014年7月，担任东莞市银禧光电材料科技有限公司执行董事兼经理；2015年12月至今，担任石河子市瑞晨股权投资合伙企业（有限合伙）执行事务合伙人。,CSRC橡胶和塑料制品业,Wind材料Ⅱ
300221.SZ,银禧科技,周娟,个人,周娟：2005年12月至今，担任东莞市信邦实业投资有限公司执行董事；2007年2月至今，担任银禧工程塑料（东莞）有限公司董事；2009年11月至今，担任苏州银禧新材料有限公司董事；2011年9月至今，担任苏州银禧科技有限公司董事；2012年7月至今，担任新余中科瑞信创业投资合伙企业（有限合伙）执行事务合伙人；2012年8月至2016年3月，担任虎彩印艺股份有限公司监事；2015年3月20日，担任昌吉州瑞泰商务咨询服务有限合伙企业法定代表人；2015年6月至今，担任新余瑞科投资管理合伙企业（有限合伙）执行事务合伙人。,CSRC橡胶和塑料制品业,Wind材料Ⅱ
300222.SZ,科大智能,黄明松,个人,黄明松先生，董事长，中国国籍，未拥有永久境外居留权，1971年9月出生，硕士。曾任安徽科大鲁能科技有限公司董事长，安徽东财投资管理有限公司执行董事，安徽科大智能电网技术有限公司执行董事、总经理，四川科智得科技有限公司董事，科大智能(合肥)科技有限公司董事，科大智能科技股份有限公司总经理。现任安徽省软件行业协会副理事长，科大智能科技股份有限公司董事长，上海科大智能电气有限公司执行董事、总经理，上海永乾机电有限公司董事，上海槟果资产管理有限公司执行董事，华艺生态园林股份有限公司董事。,CSRC电气机械及器材制造业,Wind资本货物
300223.SZ,北京君正,刘强,个人,刘强，男，公司董事长、总经理，中国国籍，无境外永久居住权。刘强先生出生于1969年，博士学位。刘强先生自2005年至2009年任北京君正集成电路有限公司董事长，领导研发了嵌入式Xburst CPU，现任公司董事长、总经理、深圳君正时代集成电路有限公司执行董事、北京君诚易恒科技有限公司董事、合肥君正科技有限公司执行董事、北京集成电路产业发展股权投资基金有限公司独立董事。,CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
300223.SZ,北京君正,李杰,个人,李杰，男，公司董事，中国国籍，无境外永久居住权。李杰先生出生于1963年，硕士学位。李杰先生曾在中科院计算所任职，从事大型机的研制工作，曾任北京庚顿数据科技有限公司执行董事，现任公司董事、北京庚顿数据科技有限公司董事、北京华如科技股份有限公司董事长。,CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
300224.SZ,正海磁材,秘波海,个人,秘波海先生，大学学历，高级经济师。1970年9月参加工作，历任山东红旗机械厂技术员、助工，烟台钟表研究所检测研究室副主任，烟台钟表工业公司副经理，烟台木钟厂厂长，烟台电子网板厂筹建处主任、党总支书记，烟台电子网板厂厂长，正海网板党委书记、总经理，正海集团党委书记、董事长、总经理，磁材有限董事长。现任正海集团党委书记、董事长，公司董事长，正海五矿、上海大郡董事长。曾被授予“全国十大优秀青年企业家”、“全国电子工业系统劳动模范”、“山东省劳动模范”、“全国五一劳动奖章”等荣誉。山东省十届、十一届、十二届人大代表、烟台市十三届人大代表、山东省第八次党代会代表、烟台市第十次、十一次、十二次党代会代表。,CSRC非金属矿物制品业,Wind材料Ⅱ
300225.SZ,金力泰,吴国政,个人,吴国政先生，中国籍，无永久境外居留权，现任金力泰、上海阿德勒、艾仕得金力泰公司董事长，福田产业公司监事。,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
300226.SZ,上海钢联,郭广昌,个人,"郭广昌先生:中国国籍,无境外永久居留权,1967年生,身份证号码:31011019670216XXXX,住所为上海市长宁区中山西路800弄55号24B座.郭广昌先生1989年毕业于复旦大学哲学系,获学士学位,1999年毕业于复旦大学管理学院,获工商管理硕士学位,高级工程师,中国民盟盟员.现任复星国际有限公司董事长.郭广昌先生现担任的主要社会职务有:第十一届全国人民代表大会代表,中华全国工商业联合会第九届执行委员会常务委员,中华全国青年联合会第十届委员会常务委员,上海市工商业联合会副主席,上海市青年联合会第八届委员会副主席,上海市浙江商会会长.2014年5月至报告期末任Fidelidade-Companhia de Seguros,S.A.董事长;2014年5月至报告期末任Multicare-Seguros de Saúde,S.A董事长;2014年5月至报告期末任Cares-Companhia de Seguros,S.A.董事长等.",CSRC互联网和相关服务,Wind软件与服务
300227.SZ,光韵达,侯若洪,个人,"侯若洪先生:本公司董事长,男,中国国籍,1965年出生,清华大学研究生学历,工学硕士.1991年5月至1993年5月任中国长城计算机集团深圳公司工程师,1993年6月至1996年6月任维用科技(深圳)有限公司工程部经理,1996年11月至1999年10月任深圳市友聆实业有限公司总经理;自1998年12月起,历任深圳市光韵达实业有限公司总经理,执行董事,董事长;自2005年10月起,任深圳光韵达光电科技有限公司董事长;2008年4月起兼任光韵达光电总经理.2008年12月起任本公司第一届董事会董事长.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300227.SZ,光韵达,姚彩虹,个人,"姚彩虹女士:本公司董事,女,中国国籍,1972年出生,工商管理硕士.1994年8月至1998年7月,任新加坡维用科技(深圳)有限公司采购,高级采购,1998年12月至2005年9月,历任深圳市光韵达实业有限公司董事,行政部经理,副总经理,2004年7月至2005年6月兼任天津光韵达董事,总经理.2005年10月至2008年4月,任深圳光韵达光电科技有限公司董事,总经理,2008年4月至2008年12月任深圳光韵达光电科技有限公司董事,营运总监.2008年12月起任本公司第一届董事会董事,营运总监.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300229.SZ,拓尔思,李渝勤,个人,李渝勤，中国国籍，现担任公司董事长职务，北京信科互动技发展有限成都拓尔思信息技术有限公司执行董事，拓尔思国际有限公司执行董事职务。,CSRC软件和信息技术服务业,Wind软件与服务
300230.SZ,永利股份,史佩浩,个人,史佩浩先生，1956年出生，大专文化，中国国籍，无境外永久居留权。2002年至2008年担任上海永利带业制造有限公司和上海永利输送系统有限公司执行董事。2009年1月起至今任公司董事长，兼上海永利输送系统有限公司董事长。2014年10月起至今担任公司总经理。,CSRC橡胶和塑料制品业,Wind资本货物
300230.SZ,永利股份,王亦嘉,个人,王亦嘉女士2009年1月至2012年1月任本公司董事，2009年1月起至今任永利黄浦董事长。,CSRC橡胶和塑料制品业,Wind资本货物
300231.SZ,银信科技,詹立雄,个人,詹立雄男身份证号3506001962110*****住所北京市延庆县永宁镇缙阳小区,CSRC软件和信息技术服务业,Wind软件与服务
300232.SZ,洲明科技,林洺锋,个人,"林洺锋,中国国籍,未有任何其他国家和地区永久居留权,身份证号码为44142219741018XXXX,住所为广东省深圳市南山区白石二道8号.",CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
300233.SZ,金城医药,赵鸿富,个人,赵鸿富先生：公司董事，1949年出生，中国国籍，大专学历，高级工程师，清华大学卓越领导MBA进修班毕业，公司主要创始人，山东省第十一届人大代表，淄博市第十四届人大代表，淄博市工商联副主席，2004年被农业部授予全国乡镇企业家称号。历任东坪建筑工程队队长，东坪建筑安装公司经理、党支部书记；1993年作为主要发起人发起设立淄博金城实业股份有限公司，任董事长、总经理至今；2004年至2008年1月兼任山东金城医药化工有限公司董事长，现任公司董事、金城实业董事长。,CSRC医药制造业,Wind制药、生物科技与生命科学
300233.SZ,金城医药,赵叶青,个人,赵叶青先生：公司董事长，1976年出生，中国国籍，工商管理硕士，淄博市第十一届政协委员，山东省青年企业家协会副会长、淄博市青年企业家协会会长、山东财经大学客座教授。1998年至2000年，在淄博市工商行政管理局任职；2001年至2004年6月，获得加拿大渥太华大学工商管理硕士学位；2004年7月起，历任山东金城医药化工有限公司总经理助理、常务副总经理、董事。现任公司董事长、金城实业董事、柯瑞公司董事、汇海公司董事、生物公司执行董事、上海金城执行董事、金城道勃法董事长。,CSRC医药制造业,Wind制药、生物科技与生命科学
300234.SZ,开尔新材,邢翰学,个人,邢翰学中国无永久境外居留权身份证号:33010619661231****,CSRC非金属矿物制品业,Wind资本货物
300234.SZ,开尔新材,吴剑鸣,个人,吴剑鸣2003年4月至2010年6月任浙江开尔执行董事、总经理。2010年6月至2011年7月任本公司董事、财务总监。2011年8月至今任本公司董事、副总经理。2009年3月担任杭州奥尼斯特电气设备工程有限公司监事，2010年2月至今担任深圳市金亦铭科技有限公司监事。,CSRC非金属矿物制品业,Wind资本货物
300234.SZ,开尔新材,邢翰科,个人,邢翰科2008年8月至今兼任合肥开尔环保科技有限公司执行董事、经理。2010年6月至今任本公司董事、副总经理。,CSRC非金属矿物制品业,Wind资本货物
